N,Merge sort
5000,44207
10000,96366
15000,151446
20000,208759
25000,267256
30000,326871
35000,387585
40000,449312
45000,511764
50000,574476
55000,637949
60000,701687
65000,765593
70000,831074
75000,896751
80000,962810
85000,1029030
90000,1095445
95000,1162141
100000,1228834
105000,1296361
110000,1363906
115000,1431475
120000,1499476
125000,1567232
130000,1635041
135000,1704553
140000,1774152
145000,1843728
150000,1913650
155000,1983356
160000,2053477
165000,2123507
170000,2193950
175000,2264341
180000,2334849
185000,2405372
190000,2476037
195000,2546655
200000,2617762
205000,2689240
210000,2760719
215000,2831975
220000,2903758
225000,2975279
230000,3046855
235000,3118764
240000,3190343
245000,3262357
250000,3334468
255000,3406203
260000,3478192
265000,3551006
270000,3624636
275000,3698560
280000,3772034
285000,3845653
290000,3919464
295000,3993012
300000,4067197
305000,4140884
310000,4214878
315000,4288792
320000,4362737
325000,4436728
330000,4511077
335000,4585032
340000,4659726
345000,4734399
350000,4808654
355000,4882960
360000,4957501
365000,5032260
370000,5106482
375000,5181301
380000,5255781
385000,5330436
390000,5405203
395000,5480073
400000,5555660
405000,5630720
410000,5706227
415000,5781624
420000,5857289
425000,5932692
430000,6008027
435000,6083418
440000,6159205
445000,6234664
450000,6310291
455000,6385810
460000,6461635
465000,6536848
470000,6612904
475000,6688847
480000,6764762
485000,6840661
490000,6916707
495000,6992379
500000,7068749
505000,7144751
510000,7220533
515000,7296213
520000,7372145
525000,7448545
530000,7526102
535000,7603810
540000,7681040
545000,7759174
550000,7836501
555000,7914133
560000,7991781
565000,8069580
570000,8147069
575000,8224753
580000,8302856
585000,8380599
590000,8457994
595000,8536061
600000,8614040
605000,8691772
610000,8769713
615000,8847142
620000,8925575
625000,9003299
630000,9081441
635000,9159219
640000,9237406
645000,9315135
650000,9393071
655000,9471385
660000,9549110
665000,9628262
670000,9706271
675000,9785113
680000,9863059
685000,9941965
690000,10019737
695000,10098197
700000,10176343
705000,10255277
710000,10333828
715000,10411983
720000,10490742
725000,10569102
730000,10648317
735000,10726575
740000,10805163
745000,10883425
750000,10962090
755000,11040509
760000,11119589
765000,11198173
770000,11276686
775000,11355370
780000,11433724
785000,11511922
790000,11591802
795000,11671007
800000,11750927
805000,11830055
810000,11909676
815000,11988453
820000,12068238
825000,12147227
830000,12226751
835000,12306405
840000,12385876
845000,12465275
850000,12545002
855000,12624470
860000,12703856
865000,12783334
870000,12862647
875000,12942023
880000,13022086
885000,13101964
890000,13180945
895000,13260427
900000,13340440
905000,13419618
910000,13499395
915000,13578706
920000,13658560
925000,13738491
930000,13818184
935000,13898361
940000,13977565
945000,14057651
950000,14137322
955000,14217612
960000,14297412
965000,14377324
970000,14456837
975000,14536639
980000,14617253
985000,14696008
990000,14776428
995000,14856619
1000000,14936390
